
07-11-2025, 6:26:25 p. m. → Temperatura = 31.00 C | Humedad = 17.80 %
07-11-2025, 6:26:37 p. m. → Temperatura = 31.00 C | Humedad = 17.70 %
07-11-2025, 6:26:49 p. m. → Temperatura = 31.00 C | Humedad = 17.70 %
07-11-2025, 6:27:01 p. m. → Temperatura = 31.00 C | Humedad = 17.10 %
07-11-2025, 6:27:13 p. m. → Temperatura = 31.00 C | Humedad = 17.70 %
07-11-2025, 6:27:25 p. m. → Temperatura = 31.00 C | Humedad = 19.60 %
07-11-2025, 6:27:38 p. m. → Temperatura = 31.30 C | Humedad = 36.20 %
07-11-2025, 6:27:50 p. m. → Temperatura = 31.90 C | Humedad = 43.60 %
07-11-2025, 6:28:02 p. m. → Temperatura = 32.70 C | Humedad = 48.60 %
07-11-2025, 6:28:14 p. m. → Temperatura = 33.00 C | Humedad = 34.30 %
07-11-2025, 6:28:26 p. m. → Temperatura = 32.90 C | Humedad = 28.70 %
07-11-2025, 6:28:38 p. m. → Temperatura = 32.80 C | Humedad = 24.10 %
07-11-2025, 6:28:50 p. m. → Temperatura = 32.60 C | Humedad = 22.00 %
07-11-2025, 6:29:03 p. m. → Temperatura = 32.40 C | Humedad = 21.10 %
07-11-2025, 6:29:15 p. m. → Temperatura = 32.30 C | Humedad = 20.70 %
07-11-2025, 6:29:27 p. m. → Temperatura = 32.10 C | Humedad = 20.30 %
07-11-2025, 6:29:39 p. m. → Temperatura = 32.00 C | Humedad = 20.20 %
07-11-2025, 6:29:51 p. m. → Temperatura = 32.00 C | Humedad = 20.40 %
07-11-2025, 6:30:03 p. m. → Temperatura = 31.90 C | Humedad = 20.40 %
07-11-2025, 6:30:15 p. m. → Temperatura = 31.80 C | Humedad = 20.30 %
07-11-2025, 6:30:28 p. m. → Temperatura = 31.70 C | Humedad = 20.20 %
07-11-2025, 6:30:40 p. m. → Temperatura = 31.60 C | Humedad = 20.20 %
07-11-2025, 6:30:52 p. m. → Temperatura = 31.40 C | Humedad = 20.10 %
07-11-2025, 6:31:04 p. m. → Temperatura = 31.30 C | Humedad = 20.30 %
07-11-2025, 6:31:16 p. m. → Temperatura = 31.20 C | Humedad = 20.20 %
07-11-2025, 6:31:28 p. m. → Temperatura = 31.10 C | Humedad = 20.20 %
07-11-2025, 6:31:40 p. m. → Temperatura = 31.10 C | Humedad = 20.30 %
07-11-2025, 6:31:53 p. m. → Temperatura = 31.00 C | Humedad = 20.40 %
07-11-2025, 6:32:05 p. m. → Temperatura = 31.00 C | Humedad = 20.40 %
07-11-2025, 6:32:17 p. m. → Temperatura = 31.00 C | Humedad = 20.40 %
07-11-2025, 6:34:06 p. m. → Temperatura = 30.70 C | Humedad = 20.60 %
07-11-2025, 6:34:18 p. m. → Temperatura = 30.80 C | Humedad = 20.60 %
07-11-2025, 6:34:30 p. m. → Temperatura = 30.80 C | Humedad = 20.60 %
07-11-2025, 6:34:42 p. m. → Temperatura = 30.80 C | Humedad = 20.50 %
07-11-2025, 6:34:55 p. m. → Temperatura = 30.80 C | Humedad = 20.50 %
07-11-2025, 6:35:07 p. m. → Temperatura = 30.70 C | Humedad = 20.40 %
07-11-2025, 6:35:19 p. m. → Temperatura = 30.70 C | Humedad = 20.40 %
07-11-2025, 6:35:31 p. m. → Temperatura = 30.70 C | Humedad = 20.40 %
07-11-2025, 6:35:43 p. m. → Temperatura = 30.60 C | Humedad = 20.30 %
07-11-2025, 6:35:55 p. m. → Temperatura = 30.60 C | Humedad = 20.20 %
07-11-2025, 6:36:07 p. m. → Temperatura = 30.60 C | Humedad = 20.30 %
07-11-2025, 6:36:20 p. m. → Temperatura = 30.60 C | Humedad = 20.20 %
07-11-2025, 6:36:32 p. m. → Temperatura = 30.60 C | Humedad = 20.20 %
07-11-2025, 6:36:44 p. m. → Temperatura = 30.60 C | Humedad = 20.30 %
07-11-2025, 6:36:56 p. m. → Temperatura = 30.50 C | Humedad = 20.30 %
07-11-2025, 6:37:08 p. m. → Temperatura = 30.50 C | Humedad = 20.30 %
07-11-2025, 6:37:20 p. m. → Temperatura = 30.50 C | Humedad = 20.30 %
07-11-2025, 6:37:32 p. m. → Temperatura = 30.50 C | Humedad = 20.20 %
07-11-2025, 6:37:45 p. m. → Temperatura = 30.50 C | Humedad = 20.30 %
07-11-2025, 6:37:57 p. m. → Temperatura = 30.60 C | Humedad = 20.40 %
07-11-2025, 6:38:09 p. m. → Temperatura = 30.60 C | Humedad = 20.40 %
07-11-2025, 6:38:21 p. m. → Temperatura = 30.60 C | Humedad = 20.40 %
22-11-2025, 1:42:42 p. m. → Temperatura = 31.00 C | Humedad = 31.80 %
22-11-2025, 1:43:02 p. m. → Temperatura = 31.00 C | Humedad = 31.50 %
22-11-2025, 1:43:22 p. m. → Temperatura = 31.00 C | Humedad = 31.50 %
22-11-2025, 1:43:42 p. m. → Temperatura = 31.00 C | Humedad = 31.70 %
22-11-2025, 1:44:02 p. m. → Temperatura = 30.90 C | Humedad = 31.70 %
22-11-2025, 1:44:22 p. m. → Temperatura = 30.80 C | Humedad = 31.60 %
22-11-2025, 1:44:42 p. m. → Temperatura = 30.80 C | Humedad = 31.50 %
22-11-2025, 1:45:02 p. m. → Temperatura = 30.90 C | Humedad = 31.50 %
22-11-2025, 1:45:22 p. m. → Temperatura = 30.90 C | Humedad = 31.50 %
22-11-2025, 1:45:42 p. m. → Temperatura = 30.90 C | Humedad = 31.40 %
22-11-2025, 1:46:02 p. m. → Temperatura = 31.00 C | Humedad = 31.30 %
22-11-2025, 1:46:22 p. m. → Temperatura = 31.00 C | Humedad = 31.00 %
22-11-2025, 1:46:43 p. m. → Temperatura = 31.00 C | Humedad = 31.00 %
22-11-2025, 1:47:03 p. m. → Temperatura = 31.00 C | Humedad = 30.90 %
22-11-2025, 1:47:23 p. m. → Temperatura = 31.00 C | Humedad = 30.90 %
22-11-2025, 1:47:43 p. m. → Temperatura = 31.00 C | Humedad = 30.90 %
22-11-2025, 1:48:03 p. m. → Temperatura = 31.00 C | Humedad = 30.90 %
22-11-2025, 1:48:23 p. m. → Temperatura = 31.80 C | Humedad = 52.70 %
22-11-2025, 2:15:44 p. m. → Temperatura = 31.60 C | Humedad = 32.30 %
22-11-2025, 2:16:04 p. m. → Temperatura = 31.70 C | Humedad = 32.30 %
26-11-2025, 10:22:20 a. m. → Temperatura = 25.30 C | Humedad = 52.60 %
26-11-2025, 10:22:40 a. m. → Temperatura = 25.40 C | Humedad = 52.00 %
26-11-2025, 10:23:00 a. m. → Temperatura = 26.00 C | Humedad = 58.70 %
26-11-2025, 10:23:20 a. m. → Temperatura = 26.60 C | Humedad = 53.20 %
26-11-2025, 10:23:40 a. m. → Temperatura = 26.70 C | Humedad = 50.50 %
